depmap_id,cell_line_display_name,AICA RIBONUCLEOTIDE (GDSC1:1001),VELBAN (GDSC1:1004),CIS-DDP (GDSC1:1005),CYTARABINE (GDSC1:1006),DOCETAXEL (GDSC1:1007),ABITREXATE (GDSC1:1008),NAVITOCLAX (GDSC1:1011),MK-0683 (GDSC1:1012),BAY 869766 (GDSC1:1014),212631-79-3 (GDSC1:1015),AY-22989 (GDSC1:1016),BOSULIF (GDSC1:1019),AG-13736 (GDSC1:1021),AZD7762 (GDSC1:1022),A-154475 (GDSC1:1024),17-AAG (GDSC1:1026),ELESCLOMOL (GDSC1:1031),AFATINIB (GDSC1:1032),PLX 4720 (GDSC1:1036),BX-795 (GDSC1:1037),BORTEZOMIB (GDSC1:104),681640 (GDSC1:1046),NUTLIN-3A (-) (GDSC1:1047),MIRIN (GDSC1:1048),ZM 447439 (GDSC1:1050),MK 2206 (GDSC1:1053),PALBOCICLIB (GDSC1:1054),BEZ235 (GDSC1:1057),PICTILISIB (GDSC1:1058),AZD-8055 (GDSC1:1059),ERK5-IN-1 (GDSC1:106),PD 0325901 (GDSC1:1060),SB-590885 (GDSC1:1061),ARRY-886 (GDSC1:1062),AK-55409 (GDSC1:1066),PACLITAXEL (GDSC1:11),JNJ-26854165 (GDSC1:1133),HG-5-113-01 (GDSC1:1142),TW 37 (GDSC1:1149),ZG-10 (GDSC1:1161),QL-VIII-58 (GDSC1:1166),CCT 018159 (GDSC1:1170),AG-014699 (GDSC1:1175),GSK 269962A (GDSC1:1192),QL-XII-61 (GDSC1:1203),PFI-1 (GDSC1:1219),AK176060 (GDSC1:1230),UNC 0683 (GDSC1:1236),YK 4-279 (GDSC1:1239),(5Z)-7-OXOZEAENOL (GDSC1:1242),PIPERLONGUMINE (GDSC1:1243),APO866 (GDSC1:1248),TALAZOPARIB (GDSC1:1259),RTRAIL (GDSC1:1261),ICL1100013 (GDSC1:1266),NVP-XAV939 (GDSC1:1268),GSK 269962A (GDSC1:127),DOXORUBICIN (GDSC1:133),ETOPOSIDE (GDSC1:134),GEMCITABINE (GDSC1:135),MITOMYCIN-C (GDSC1:136),PLX 4720 (GDSC1:1371),TRAMETINIB (GDSC1:1372),DABRAFENIB (GDSC1:1373),AFATINIB (GDSC1:1377),BLEOMYCIN (50 UM) (GDSC1:1378),EXELBINE (GDSC1:140),SN38 (GDSC1:1494),ARRY-886 (GDSC1:1498),944328-88-5 (GDSC1:151),1080622-86-1 (GDSC1:152),BAY 869766 (GDSC1:1526),PICTILISIB (GDSC1:1527),PEVONEDISTAT (GDSC1:1529),BENZOYLSTAUROSPORINE (GDSC1:153),LADUVIGLUSIB (GDSC1:154),AP-24534 (GDSC1:155),AK-55409 (GDSC1:156),JNK INHIBITOR 9L (GDSC1:157),PF-00562271 (GDSC1:158),HG6-64-1 (GDSC1:159),(+)-JQ-1 (GDSC1:163),JQ12 (GDSC1:164),DIMETHYLOXALYLGLCINE (GDSC1:165),AR-12 (GDSC1:167),ANCHUSIN (GDSC1:170),EMBELIC ACID (GDSC1:172),FH535 (GDSC1:173),GTPL5238 (GDSC1:175),IPA 3 (GDSC1:176),GSK 650394 (GDSC1:177),BAY-61-3606 (GDSC1:178),FLUOROURACIL (GDSC1:179),OCTANOIC ACID (GDSC1:180),GX15-070 (GDSC1:182),BMS-754807 (GDSC1:184),BEXAROTENE (GDSC1:186),BLEOMYCIN (GDSC1:190),AUY (GDSC1:194),DBI (GDSC1:196),PAZOPANIB (GDSC1:199),DACINOSTAT (GDSC1:200),EPO906 (GDSC1:201),BMS-345541 (GDSC1:203),TIPIFARNIB (GDSC1:204),AS601245 (GDSC1:207),ISPINESIB (GDSC1:208),AT-7519 (GDSC1:219),KIN001-201 (GDSC1:221),BX-912 (GDSC1:222),KIN001-167 (GDSC1:223),AS-605240 (GDSC1:224),GENENTECH CPD 10 (GDSC1:225),GSK-1070916 (GDSC1:226),AKT INHIBITOR VIII (GDSC1:228),ENZASTAURIN (GDSC1:229),QL-XII-47 (GDSC1:235),UNC 0683 (GDSC1:245),CABOZANTINIB (GDSC1:249),WZ3105 (GDSC1:252),JW-7-24-1 (GDSC1:256),NPK76-II-72-1 (GDSC1:257),NG-25 (GDSC1:260),TL-1-85 (GDSC1:261),VX-11E (GDSC1:262),ACY-1215 (GDSC1:264),TUBASTATIN A (GDSC1:265),SEPANTRONIUM BROMIDE (GDSC1:268),NSC-207895 (GDSC1:269),AR 42 (GDSC1:272),CUDC 101 (GDSC1:273),BELINOSTAT (GDSC1:274),GSK525762A (GDSC1:275),CAY10603 (GDSC1:276),BIX 02189 (GDSC1:279),ALECENSA (GDSC1:281),EKB 569 (GDSC1:282),EX-8678 (GDSC1:283),KIN001-244 (GDSC1:287),KIN001-042 (GDSC1:289),ACHP (GDSC1:290),KIN001-266 (GDSC1:291),AB1010 (GDSC1:292),AMUVATINIB (GDSC1:293),MPS-1-IN-1 (GDSC1:294),BHG712 (GDSC1:295),OSI 930 OSI930 (GDSC1:298),A-1065-5 (GDSC1:299),284461-73-0 (GDSC1:30),CX 5461 (GDSC1:300),PHA 793887 (GDSC1:301),PI 103 (GDSC1:302),PIK 93 (GDSC1:303),SB 52334 (GDSC1:304),TPCA-1 (GDSC1:305),FEDRATINIB (GDSC1:306),EXEL-2880 (GDSC1:308),Y-39983 (GDSC1:309),YM 201636 (GDSC1:310),WYE-125132 (GDSC1:317),SNX 2112 (GDSC1:328),QL-XI-92 (GDSC1:329),XMD13-2 (GDSC1:330),QL-X-138 (GDSC1:331),T0901317 (GDSC1:333),TENOVIN-6 (GDSC1:342),THZ-2-49 (GDSC1:344),CDK9 INHIBITOR (GDSC1:345),THZ-2-102-1 (GDSC1:346),NVP-TAE 684 (GDSC1:35),AT7867 (GDSC1:356),CI-1033 (GDSC1:362),PF-00299804 (GDSC1:363),TWS119 (GDSC1:366),TORIN 2 (GDSC1:371),PILARALISIB (GDSC1:372),GSK1059615 (GDSC1:374),SAR245409 (GDSC1:375),BIBF-1120 (GDSC1:380),AST-1306 (GDSC1:381),APITOLISIB (GDSC1:382),KB NB 142-70 (GDSC1:407),NSC 83265 (GDSC1:41),CPI-613 (GDSC1:415),CAY10566 (GDSC1:416),ALISERTIB (GDSC1:431),FLAVOPIRIDOL (GDSC1:432),C-75 (GDSC1:435),"CAP-232, TT-232, TLN-232 (GDSC1:436)",TRICHOSTATIN A (GDSC1:437),FARYDAK (GDSC1:438),LCL161 (GDSC1:439),IMD-0354 (GDSC1:442),MIM 1 (GDSC1:446),CD532 (GDSC1:449),GAMMA-SECRETASE INHIBITOR 1 (GDSC1:45),NSC319726 (GDSC1:461),ARRY-520 (GDSC1:474),SB 505124 (GDSC1:476),LDN-193189 (GDSC1:478),SU-11248 (GDSC1:5),DASATINIB (GDSC1:51),CGP 60474 (GDSC1:53),FINGOLIMOD HYDROCHLORIDE; GILENYA; TDI-132; IMUSERA; GILENIA (GDSC1:546),A-770041 (GDSC1:55),BAM7 (GDSC1:552),KOBE2602 (GDSC1:563),BI-2536 (GDSC1:60),BMS 536924 (GDSC1:62),BMS-509744 (GDSC1:63),CMK (GDSC1:64),CHLORIDINE (GDSC1:71),JW-7-52-1 (GDSC1:83),A-443654 (GDSC1:86),GW843682X (GDSC1:87),ENTINOSTAT (GDSC1:88),PARTHENOLIDE (GDSC1:89),LLL CPD (GDSC1:9)
ACH-000001,NIHOVCAR3,,-8.436348808,,,-7.275348895,,,,,,,,,-1.476909845,,,-3.596313877,,,,,,,5.028323678,,,,,,,,,,,,,,1.865021044,-1.073824536,0.604923043,-2.602411477,,,,,,,3.94435316,0.455871886,2.732653077,1.8764738,,,-4.994935623,,,,-0.024191686,,,1.004209201,,,,,3.514178652,-7.80004797,,,,,,0.753856175,,,,,,-0.619332561,,,0.917996413,,7.879143957,3.377070501,-0.792735117,,2.900254831,-0.253002534,4.42371306,,,,-7.657445411,0.739406222,,,5.970613916,,,,-4.02078515,-7.092047024,,3.65794986,2.95497658,,,,,,,,,,,,,,,,,,,,2.724260386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.462904662,,2.668278184,,3.30536818,,,4.128032283,,,,7.442921013,,,-2.591013422,,,-3.01461324,-5.061284962,,,,0.826724837,,-8.459868428,-6.454265392,1.287067543,3.146243148,,,,3.840118382,,,4.290551359,,,,,,,,,,,
ACH-000048,TOV112D,,-7.487323626,,0.00716095,-7.635826215,,,0.457445143,,,,,,-1.04426902,,-1.7615871,-6.089996579,,,,,,,6.344052668,,,,,,0.074268036,,,,,,,,2.708152076,-2.166046351,1.564102399,-1.939329411,,,,,,-3.518169696,4.163024304,,0.566030117,2.671522057,-5.836330621,1.437100469,,0.334554268,,,-5.590439548,-1.482714943,,-3.37549757,,,,,1.636538056,-8.931495812,-7.733551666,,,1.451541792,,,,-2.721697675,,-1.777328709,,-1.315998504,,-0.786412078,-1.770884454,0.717320931,6.183009007,0.526642226,-2.342130589,2.638857326,1.465179123,,,0.362871156,0.371892266,,-8.462358592,-3.636222278,-2.334732533,2.97068841,-0.962000538,-6.31084451,10.96030208,2.946880612,-5.004711092,-10.34608822,2.0435595,-0.628877983,1.581083538,-8.327467887,-1.283974476,2.993669997,,-1.251952846,2.753545436,-1.857657203,,2.04630022,2.690850477,-0.608346744,3.760840558,,-2.118533373,,2.601152313,2.753161686,,,2.184187446,,,,-1.016656883,-1.076568725,-0.61187947,,0.389577033,,,,-5.529493922,,,,4.236183417,4.188868689,3.763478148,,,,-3.360559905,,,2.669559328,-2.150840004,3.916767451,2.109257761,3.984252794,3.195794035,-0.07598569,,1.717222814,-3.744260971,-3.16295389,,3.125824871,,,3.493030655,-0.268897896,,-5.625416103,,,1.794262887,2.886835115,1.555888382,,3.909013889,-0.533127774,4.1122427,3.375536123,1.566278372,-0.852755598,2.215250847,,6.431332731,,,-3.228435922,4.300656262,,-3.251168392,-2.905228629,,-0.892309044,3.624243587,-0.817195131,,-9.752798257,-9.490193884,1.464283918,0.673746468,,,,2.345030504,,,4.30157536,,,,,,,,,,,
ACH-000091,OV56,,-4.891624199,2.091239386,-1.17658211,-6.381119047,,,1.943699687,,,,,,-1.014149354,,-2.629651529,-5.436849246,,,,,,,,,,,-4.682297379,,0.966509407,,,,,,,,,-1.861142714,3.087328252,0.819006518,,,,,,,,2.275543947,1.925918082,2.444972564,,,,,,,,,,,,,,,2.95061521,,-7.281926882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.685681812,,,,,,,1.504879187,,1.517637322,,2.821141091,,0.474826001,5.00935905,,,3.075521928,,,,,,,,4.175501224,0.050544515,0.330431565,0.299076836,,1.412868951,,2.29927595,,,4.304339048,,,4.073953067,4.053684845,,,,,3.890669936,,,3.287267789,1.0774109,4.146311362,,,,1.393685,,2.250468742,,,,,3.265346592,,4.073358094,2.687204096,,-3.479592042,,,,4.092096065,,3.6174469,,2.510422227,,,3.175475047,,,,7.790660667,,,,,,,,,2.356809834,,,,,,,1.840619882,,,,4.225968803,,,,,,,,,,,,,,
ACH-000116,OAW28,,,3.287601209,,,,0.450118951,2.931255064,,,,,,,,,,,,,,,,5.174579311,,,,,,,,,,,,,,,-1.202922722,,,,,,,,,,3.128250527,3.195803121,3.100603425,,,,,,,-1.923773725,1.795086968,-4.25768644,0.123940205,,,,,4.512808983,-5.990928701,-6.687966214,,,,,,,,,,,1.051315191,,,,1.154876943,11.01625388,3.938949442,0.754499326,4.642825958,4.454395436,,,,,,-3.612575702,-1.807940071,,,4.150588766,,10.27772502,,-3.291772316,-6.553963628,,,,-3.147345592,,,,,4.189243541,3.015671347,,,,3.28917778,4.117015024,,0.331585028,2.840491903,1.606135938,3.144670099,,,2.623553357,,-4.610367288,,-1.582548782,-2.950201509,-1.490761399,,-0.198114533,,,,-3.615774856,,,,3.092664149,4.232359493,,,2.750025947,,4.30713984,,,,2.054518106,,,,,-0.34996609,,,,,,,3.204325719,,3.284618095,1.749025336,,-2.782820783,,,2.682991809,2.882535785,,0.405857448,,1.580412531,,,2.453041881,1.414481866,,,6.799191369,,,,,,,,,0.935682043,5.203947443,,,-5.849562588,,,1.786271216,,,,3.423142218,,,,,,,,,,,,,,
ACH-000132,JHOS2,,-5.572085956,,-0.34157311,-7.647135242,,,2.734705902,0.366074081,2.73037504,,,,-0.357326939,,-0.155757536,-7.718314259,,,1.497050617,,,,,,,,-3.319715374,-0.597745159,0.410661103,,-3.208792857,,,,,,1.773580895,-1.95769115,1.627951984,-0.880220015,,,,,,,,,0.781601638,2.653291921,,1.977253561,,,,,,,,,,-5.723139169,,,2.487983015,,-6.968749594,,,3.906409281,1.143273823,0.760250433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.310004077,,,,,2.131168848,,,,,,,,,,,,-0.276972384,1.321937923,-0.006562537,1.22384435,,2.33784284,,,,,,,,3.749790684,,,,,,3.594749352,,,,,,2.844824765,,,0.441518051,,,,-1.137767113,,,,,3.885847205,,,-4.187129424,,,3.466256763,3.726938305,2.192211207,1.329173327,,1.392150154,,,2.381633127,2.448823043,3.598913921,,7.754008912,,,-2.447024819,,,-0.194163144,-1.657761222,,0.613078447,4.392161219,1.643280121,,-9.162329998,-8.201675798,2.160786296,1.820296633,,,,3.086257758,,,,,,,,,,,,,,
ACH-000291,OV90,,,,,,,0.849075989,0.747758144,-2.111315193,-0.312873276,,,,0.184267207,0.460942755,-5.743771053,-6.085659237,,,,,,,,,,,-5.207029175,,0.40986503,,-6.390126817,2.112121687,,,,,,-1.392434519,,-0.801495888,,,,,,,,,,,,,,,,,-1.828946616,0.75460249,-4.576218138,-0.921833725,,,,,,-4.528822348,-4.314137221,-1.544294503,,3.779379794,-1.448853463,,,,,,,-0.212139311,,,,,10.19726373,3.271945008,0.622316163,2.434358724,,,,,,,-7.896288589,-0.454899958,,,1.634303974,,10.50387944,,-3.785358996,,3.705131266,3.556213019,,,,,,,3.265520019,,,2.431885381,,3.130085676,4.998894611,,,2.512261983,,,,,2.531718006,,-4.925235408,,-0.345925349,0.391394047,1.517305932,,2.047148637,,,,,,,,,4.132171111,,,,,,,,,,,,,,1.236032164,,,,-2.353750577,,,,,3.385580249,1.614156091,,,,,,3.919037617,,-0.536941384,,1.056199876,,,,1.440586546,,,,,,,,4.321723473,-2.498211434,-3.85702512,,1.579767104,5.321619503,-0.058458616,,,,,2.362439878,,,,2.912768215,,,,,,,,,,,,,,
ACH-000430,TYKNU,,-7.055689019,3.157530508,0.662990438,-7.062555775,,,1.332748018,-0.224136344,-0.739766827,-8.048895353,,,-1.798402698,-0.389755848,-4.227331708,-5.359248029,,,,,,,6.422764608,,,,-5.875591525,,-0.829198363,,-5.200700835,1.307497738,,,,,2.799813284,-1.384180927,1.446700881,-3.461259442,,,,,,-3.464277907,3.938342665,,-0.395281557,1.859140375,-3.287647809,0.148762793,,,,,-0.092441663,2.268546801,-2.4545164,-2.408730553,,-5.301855639,,,1.820732306,,-8.474492587,,,,1.477614584,,,,1.313444695,,,-1.204338413,,,,,11.81639842,2.129644114,0.921328985,4.17638819,0.200891218,,,,,,-8.118903166,-2.378656232,,,2.101815473,,11.426779,,-2.848313851,,,3.705022595,1.558063506,,,,,,,3.162151728,,3.204801481,,2.963533514,4.73944535,,,3.272989039,,,,,3.547489656,,,,-0.503358731,-0.64949073,-0.107640607,,1.064467612,,,,,3.884949676,,,4.053271428,4.188424628,,,,,,,,,,,,,,1.788542525,,,-0.983502665,,,,,,2.615669359,3.559376798,,,,,3.40046498,3.23535457,4.073585737,-2.042029002,4.063504014,0.697025394,,4.070154189,2.864009073,0.403720781,2.731419694,,7.173977386,,,,,,-1.777914698,-3.326876329,,-0.294839119,,-0.642510399,,,,,1.673660123,,,,4.037491131,,,,,,,,,,,,,,
ACH-000443,OVKATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.733703952,,,,,,,,,,,,,,,,,,,,2.021410314,,,,,,,,,,,,,,,,,,,,,,,10.47843176,3.794003685,,,,,,,,,,,,,,,,,-0.250173127,,,,,,,,,,,,,,,3.352938096,4.980168212,,,3.330330309,,,,,,,-4.729091978,3.855145898,0.721471218,-0.581808254,0.545713999,,1.534908123,,,,,,,,4.301377951,,,,,,,,,,,4.212314957,,3.322966639,3.335664171,1.147715648,,2.154664312,,,,,,,,3.55228455,,,,,4.11408098,,,,,,,,,,,,7.58245984,,,,,,,,,,4.583559343,1.671866362,,,,,2.353968921,,,,3.189233666,,,,,,,,,,,,,,
ACH-000524,KURAMOCHI,,,,,,,,,,,,,,,,,,,,,-9.618073842,,,,,,,,,,,,,,,-6.698045509,,,,2.014559372,-1.655503305,,,,,,,,,3.076427737,3.167885571,,,,,,,-1.973685112,-1.90659756,,0.661861567,,,,,,-7.966680059,,,2.325292482,,,,,-1.305714432,,-1.091975464,-0.559196689,-0.911762441,,-0.303579747,,,10.98546187,1.169361141,1.205233316,3.5195213,0.920961497,,,,,,-8.706895051,,,,3.935064947,-5.746922165,11.83113312,,-4.239839101,-6.502783305,,2.852145493,2.234225612,,,,,,3.049224543,,,,,,5.126669739,,,3.162421186,,,,,2.671763732,,,,-0.267048263,0.01451945,0.385410996,,1.872639315,,,,,,,,,,,,,,,,,,,,,,2.93954859,0.854152753,,,,,,,3.356078812,,3.864117334,3.955758966,,,,,4.04282556,3.171963177,,1.199464154,,1.614874064,,,2.225464949,2.182186539,,,7.19977297,,,-2.155751,,3.468993179,-2.472101387,-4.838543236,,2.92618104,3.52870559,1.544750635,0.322747081,-3.588096986,,,1.39068345,2.537701508,-4.216640483,-4.551787934,2.707171085,1.793781718,,,-5.146012889,,,,,-4.532407328,-2.66524749,-5.756654287,,,-0.669374784
ACH-000527,OVISE,,-5.807412495,,,,,-4.858711615,0.272125803,,,,,,-1.669456338,,,-6.335294962,,,,,,,,,,,,-1.492857248,-0.053233582,,,,,,,,,-1.257788118,,1.774122031,,,,,,,,,2.207489107,2.870785516,,,,,,,-1.243925489,,,3.067186279,,,,,,,,,,,,,,,,,,0.758282108,,,0.46296019,,,,0.766659277,,3.122112659,,,,,,,-1.487408676,,,,-3.902107657,11.4311319,,-2.77197491,,3.849659478,3.885854161,2.776797484,,-0.384013635,,,1.910920268,,,,,,2.214675334,2.990848211,,-0.404162188,2.457729519,,,,,3.438449571,3.097159723,,,0.196476669,-0.52446915,1.071147782,,1.854038295,,,,,,,,4.175164015,,,,,,3.463893294,,,3.264769528,-2.588281513,,,,3.153696125,0.914147803,,,,,,,,,3.165633793,3.428588109,,-3.34618035,,,2.922429833,4.214363663,2.868629245,1.614186617,,2.326144322,,,3.721269559,,,,7.726475445,,0.612184544,-1.343872977,4.16956677,,-2.109298572,-3.536362482,,0.086899912,5.113210335,0.883973682,,,,1.88306796,1.8408681,,,,3.631003848,,,,,,,,,,,,,,
