depmap_id,cell_line_display_name,(+)-CAMPTOTHECIN (GDSC2:1003),VELBAN (GDSC2:1004),CIS-DDP (GDSC2:1005),CYTARABINE (GDSC2:1006),DOCETAXEL (GDSC2:1007),NAVITOCLAX (GDSC2:1011),MK-0683 (GDSC2:1012),AZD7762 (GDSC2:1022),AFATINIB (GDSC2:1032),681640 (GDSC2:1046),NUTLIN-3A (-) (GDSC2:1047),MIRIN (GDSC2:1048),ALISERTIB (GDSC2:1051),BEZ235 (GDSC2:1057),PICTILISIB (GDSC2:1058),GX15-070 (GDSC2:1068),DASATINIB (GDSC2:1079),PACLITAXEL (GDSC2:1080),284461-73-0 (GDSC2:1085),IRINOTECAN (GDSC2:1088),ELOXATIN (GDSC2:1089),BMS 536924 (GDSC2:1091),APR-246 (GDSC2:1131),ERLOTINIB (GDSC2:1168),NIRAPARIB (GDSC2:1177),ADAVOSERTIB (GDSC2:1179),DINACICLIB (GDSC2:1180),GEMCITABINE (GDSC2:1190),BORTEZOMIB (GDSC2:1191),YK 4-279 (GDSC2:1239),APO866 (GDSC2:1248),BMS-345541 (GDSC2:1249),AZ 960 (GDSC2:1250),TALAZOPARIB (GDSC2:1259),ELLENCE (GDSC2:1511),PEVONEDISTAT (GDSC2:1529),GSK-2141795 (GDSC2:1553),LAPATINIB (GDSC2:1558),AUY (GDSC2:1559),TASELISIB (GDSC2:1561),ARAVA (GDSC2:1578),ENTINOSTAT (GDSC2:1593),WZ 4003 (GDSC2:1614),AOB5560 (GDSC2:1617),GSK525762A (GDSC2:1624),BIRABRESIB (GDSC2:1626),ENTOSPLETINIB (GDSC2:1630),BIIB-057 (GDSC2:1631),CRA-032765 (GDSC2:1799),ACETALAX (GDSC2:1804),ELOXATIN (GDSC2:1806),TOPOTECAN (GDSC2:1808),TENIPOSIDE (GDSC2:1809),MITOXANTRONE (GDSC2:1810),AC-DE (GDSC2:1811),FLUDARA (GDSC2:1813),VINCRISTINE (GDSC2:1818),DOCETAXEL (GDSC2:1819),PODOPHYLLOTOXIN BROMIDE (GDSC2:1825),DIHYDROROTENONE (GDSC2:1827),ELEPHANTIN (GDSC2:1835),BI-97C1 (GDSC2:1849),GTPL8020 (GDSC2:1855),BDP-00009066 (GDSC2:1866),BKM120 (GDSC2:1873),BVD-523 (GDSC2:1908),ABT737 (GDSC2:1910),AC-DE (GDSC2:1911),AFURESERTIB (GDSC2:1912),CAPIVASERTIB (GDSC2:1916),CERALASERTIB (GDSC2:1917),AZD 2171 (GDSC2:1922),GNE 317 (GDSC2:1926),MST 312 (GDSC2:1930),NVP ADW742 (GDSC2:1932),UMI 77 (GDSC2:1939),SEPANTRONIUM BROMIDE (GDSC2:1941),WEHI-539 (GDSC2:1997),EXEL-2880 (GDSC2:2040),PYRIDOSTATIN (GDSC2:2044),EXELBINE (GDSC2:2048),VX-11E (GDSC2:2096),GSK-2141795 (GDSC2:2106),AZ6102 (GDSC2:2109),AT13148 (GDSC2:2170)
ACH-000001,NIHOVCAR3,,,,,,2.150392662,3.24507481,1.861445114,,2.054516191,,,,,,2.925382625,,,2.842153846,,,,,,,-0.048538403,,,-7.158968688,1.427591971,,,,,,,,,,,,,,,,,,,,-1.52124851,,,,,,,-5.402837827,-6.136640423,-2.834906002,,,-2.072660721,,3.28557051,1.917285181,,,-7.120118588,,,,3.022385055,2.37537308,0.373391521,,2.514634812,,,3.320845372,,,,,,
ACH-000048,TOV112D,-5.795863916,-8.277396105,1.704363373,-0.860893425,,,1.766466044,0.744449672,,,,6.42069749,,,,1.755338466,,,2.861509734,1.57837565,,,,,,1.760031581,-5.744537238,-5.811032951,,,,,,0.558580578,-3.575227465,0.036027107,,,,,,,,3.275671976,,,,,,,,-2.439512224,-2.492575134,-2.613418228,,,-6.063434342,-5.384826899,-3.268144343,,,-1.723965072,,2.475124666,0.648913743,,,-8.063371652,,,,2.837607303,,0.169539622,,2.150951329,,,2.618336345,,-6.678655978,,,3.287403957,
ACH-000091,OV56,,,,,,,,,,,,,,,,1.737396065,,,,,,,4.663791043,,,,,,-6.120159303,,,,,,,,,,,,5.376502499,,,,,,,,,,,-1.290078233,1.437540569,,,,,,,,,-1.511835182,,,,,,,,,,,2.082572512,0.684558671,,,-3.882993578,,,,,,,2.199403869,
ACH-000116,OAW28,,,,,,-0.008254237,2.722118353,2.900614924,,,,6.42718828,,,,,,,,,,,,,,,,,-7.509130479,,,,,,,,,,,,,,,,,,,,,,,1.151970004,,,,,,,,,,-0.435792355,,,,,0.379249988,-7.558253963,,,,,,1.037911929,3.050934276,2.924468901,-4.71278557,1.717199228,2.081940936,,,,,,
ACH-000291,OV90,,,,,,2.637562175,,,,,,,,,,2.781072623,,,3.22065018,,,,,,,,,,-6.389975468,,-6.625580443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.787044433,,,,,1.576493194,,,,,,,2.000900702,,,-5.994238775,,2.316421866,,,,,,
ACH-000430,TYKNU,,-6.517358101,2.46119534,,,,2.298835321,-0.077905309,3.26217798,0.41925985,,,,-4.794401503,,2.740904352,,,3.134477067,2.874220526,,,,,,0.147550719,,,-7.81583367,,,,,,-1.254336697,-2.53476132,,,,,,,,,,,,,,,,,,,,,,,,,,1.551455943,,2.640819885,0.344498247,,,-7.203718886,,,2.034500587,,-0.359692497,-1.125660187,2.341410768,,-5.581492565,,3.280219953,,,,,2.778201001,
ACH-000443,OVKATE,,,,,,2.911968752,,2.937590584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.207435998,-1.372297738,,,,,,,,
ACH-000524,KURAMOCHI,,,,,,,2.93458263,2.774887692,,,,,,,,1.812784955,,,,,,,,,,3.098472585,,,-5.790675915,,-6.786180996,,,,-0.159375358,,,,,,,,,2.869426831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.158511668,,,,,,,,
ACH-000527,OVISE,,,,,,-0.526929346,3.219116053,1.019628655,3.078168982,,,,,,,,,,2.596697494,,,,4.795180227,,,2.026445063,,,-7.322886731,,,,,,-0.858705249,,,,,,,,,,,,,,,-1.640217228,,,,1.431861806,,,,,,,,-2.928814527,,,1.615485849,,1.789185746,-6.661039428,,,,2.148201524,,,3.140818913,3.229918161,-5.388548837,,2.453828194,,,,,3.22088142,
ACH-000574,FUOV1,,,,,,,,2.753674038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.303826952,,,,,,,,,,0.521794296,,3.26902795,,,2.897077601,,,,,,
ACH-000617,OVCAR4,,,,,,,,,,,,,,,,,,,,,,,,,,1.642180301,,,-6.216624829,,,,,,,,,,,,,,,3.229270984,,,,,,-1.602662146,,,,1.54077056,,,,,,,,0.889203386,,,,,,-6.107881303,,,,,,,,,,,,,,,,,
ACH-000657,A2780,-3.70478136,-8.568530543,,-1.264475165,,3.065953863,2.066062134,-0.404965438,0.988207817,1.918116029,1.908290881,5.750450379,,-5.556536146,-0.94069765,0.205773065,,-6.878939999,1.83543073,3.278252728,1.737094388,2.872703928,3.417738259,,,-0.190357541,-5.693182703,-6.472681135,-7.428917329,0.803095393,-8.586687927,3.247107461,0.322863336,,-4.017373785,,1.680493828,3.266010765,-6.747320821,-0.728746598,,2.327007036,,2.185967083,,,,3.203899213,,,1.356531886,-3.040948655,-2.745509355,-5.027704311,-6.893921967,,-6.462864882,-6.256324837,-2.959052788,,3.197995509,-4.540482921,,1.325755227,-0.115815035,1.007556687,,-8.887767951,1.819779299,,3.290970623,1.393761056,-1.939973139,-1.525476473,3.113136065,2.716236489,-6.071774187,,-0.350458824,2.418696792,-7.494715488,,1.269722695,1.720811717,
ACH-000663,OVTOKO,,,,,,,,1.942443284,,,,,,,2.017528616,,,,,,,2.653470506,4.809608496,,,,,,-6.878819788,,,,,,-0.432416112,,,,,,,,,,,,,,,,,0.752672816,,0.669232218,,,,,,,4.090431051,-1.35634471,,,1.977415961,,,-6.483446975,,,,3.005834249,1.319010809,1.767498593,,,-3.018209359,,2.002524715,,,,,3.196805822,
ACH-000696,OVCAR8,,-8.439541193,,0.780374567,-8.158782791,,1.341991974,-1.398241476,2.738220093,1.245909054,,6.617328784,,-3.625332908,,,,-7.105233042,2.526705917,,,,,,,-0.44530476,-3.305338494,-6.389144758,-6.335564016,1.301273384,,,,,-1.338102724,-0.652502896,,,,,,2.417142518,,0.14155655,,,,,,,,-1.192748183,,-0.948555753,,2.355324405,-4.942417788,,-3.115966873,,4.25687651,-1.778482484,,2.068491331,1.788204412,,,-7.042069425,,,2.638892338,3.234859638,,-1.351282561,,,-6.014658612,,,,-5.672191112,,,3.064222922,
ACH-000704,OAW42,,,1.73005082,,,,2.667349346,,,,,,,,,2.744771096,,,,,,,,,,,-2.805856206,,,,,,,,,,,,,,,,,,,,,,,,,-1.835679669,,,,,0.297314609,,-0.941427947,,4.194940834,-1.732563191,,,1.199844068,,3.275972921,-3.311137328,,,,,,,,,-1.82650891,,,,,,,,
ACH-000719,RMGI,,,,,,1.585622284,1.897535323,,2.679690059,,,,,,,,,,,,,,,,,2.718744901,,,-7.250741856,,,,,,-0.475388343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.400903155,-5.930940075,,,,2.463433288,,,3.303461995,,-5.020401098,,2.488624713,,,,,,
ACH-000811,SKOV3,,,,,,,3.250753365,2.425046308,,,,,,,,,,,,,,,,,,,,,-5.777605732,,-6.65307843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.875175498,,,-2.40139894,,,,,,,,,-6.15889909,,3.072134971,,,,,,
