depmap_id,cell_line_display_name,1p,1q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q,10p,10q,11p,11q,12p,12q,13q,14q,15q,16p,16q,17p,17q,18p,18q,19p,19q,20p,20q,21q,22q
ACH-000001,NIHOVCAR3,-1,0,-1,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,1,-1,-1,-1,0,1,1,-1
ACH-000048,TOV112D,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0
ACH-000091,OV56,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0
ACH-000116,OAW28,1,1,1,0,0,1,0,-1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,-1,0,0,1,0,0,0,0,0,0
ACH-000123,COV434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACH-000132,JHOS2,1,0,0,0,0,0,-1,-1,0,0,0,-1,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,-1,0,0,0,-1,-1
ACH-000237,JHOM1,0,-1,-1,-1,0,0,-1,-1,1,-1,0,0,-1,-1,0,0,-1,-1,0,-1,-1,0,0,0,-1,1,0,0,0,0,0,-1,-1,-1,0,1,1,-1,-1
ACH-000256,COV318,1,1,1,1,-1,0,-1,-1,0,0,0,0,1,1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,0,-1,1,1,0,-1
ACH-000278,COV362,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,-1,-1,0,0,-1,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1
ACH-000291,OV90,0,0,0,0,-1,0,0,0,0,0,0,0,-1,1,-1,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,1,-1,-1,1,0,0,0,-1
ACH-000324,JHOC5,1,1,-1,-1,-1,0,-1,-1,0,0,0,0,0,-1,1,1,-1,-1,-1,-1,-1,0,1,0,-1,-1,-1,0,0,-1,1,-1,0,-1,0,1,1,-1,1
ACH-000409,OVSAHO,1,1,0,-1,-1,1,-1,-1,1,1,0,-1,-1,1,-1,-1,-1,-1,1,1,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,1,-1,-1
ACH-000430,TYKNU,1,1,1,1,0,1,0,0,1,1,0,-1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
ACH-000443,OVKATE,0,0,0,1,-1,0,1,0,1,0,-1,-1,0,0,0,0,-1,0,0,-1,-1,0,0,0,-1,0,0,0,-1,-1,1,1,-1,-1,0,0,0,0,-1
ACH-000460,SNU8,0,1,0,0,-1,0,-1,-1,1,1,0,0,1,1,-1,-1,1,-1,0,-1,-1,-1,0,0,-1,1,-1,-1,-1,-1,1,0,-1,-1,1,1,1,0,-1
ACH-000524,KURAMOCHI,1,1,-1,0,-1,0,-1,-1,1,-1,0,0,-1,1,-1,1,-1,-1,1,-1,-1,0,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,1,-1,1,0,-1
ACH-000527,OVISE,0,0,0,0,-1,1,-1,-1,-1,0,-1,-1,1,-1,-1,1,0,0,-1,0,0,-1,0,0,-1,0,-1,0,-1,-1,1,1,-1,0,1,0,0,1,-1
ACH-000542,HEYA8,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0
ACH-000574,FUOV1,0,0,0,-1,1,1,-1,-1,1,0,0,0,-1,0,-1,0,0,-1,-1,0,0,1,1,0,-1,0,0,0,0,-1,0,1,-1,-1,1,1,1,-1,-1
ACH-000608,COV644,0,0,0,0,0,0,-1,-1,1,0,0,0,1,1,-1,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1,-1,0,-1
ACH-000617,OVCAR4,0,1,0,0,0,0,-1,-1,0,1,0,-1,1,1,-1,1,-1,-1,-1,0,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1,-1,1,1,1
ACH-000646,OVMANA,0,0,1,1,-1,1,-1,-1,0,0,-1,-1,1,-1,-1,-1,-1,-1,0,0,-1,0,1,1,-1,1,-1,0,-1,-1,1,-1,-1,-1,1,0,0,0,0
ACH-000657,A2780,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACH-000663,OVTOKO,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,-1,1,1,1,-1,1,1,0,1,-1,1,1,1,1,1,-1,0,0,1,1,0,1
ACH-000688,OV7,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0
ACH-000696,OVCAR8,0,-1,-1,-1,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
ACH-000701,RMUGS,0,0,0,0,-1,0,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,-1,1,-1,0,-1,0
ACH-000704,OAW42,0,0,0,-1,-1,1,-1,-1,1,0,0,0,0,0,0,1,-1,-1,0,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,0,0,1,0,-1,0
ACH-000713,CAOV3,0,-1,0,0,-1,1,-1,-1,0,0,0,-1,0,0,-1,0,-1,-1,0,0,-1,0,0,0,-1,0,0,-1,-1,-1,0,0,-1,-1,0,-1,0,-1,0
ACH-000719,RMGI,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0
ACH-000796,MCAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,1,-1,-1,-1,0,0,0,0
ACH-000811,SKOV3,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
ACH-000885,TOV21G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACH-000906,ES2,0,0,0,0,0,0,0,-1,1,0,1,0,1,0,-1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,-1,0
