depmap_id,cell_line_display_name,all5,bone,brain,kidney,liver,lung
ACH-000048,TOV112D,-3.8650339,-3.8650339,-3.8650339,-3.8650339,-3.8650339,-3.8650339
ACH-000091,OV56,-3.5978076,-3.5978076,-3.5978076,-3.5978076,-3.5978076,-3.5978076
ACH-000123,COV434,-3.5150805,-3.5150805,-3.5150805,-3.5150805,-3.5150805,-3.5150805
ACH-000132,JHOS2,-4.0933814,-4.0933814,-4.0933814,-4.0933814,-4.0933814,-4.0933814
ACH-000237,JHOM1,-3.6401978,-4.1840487,-4.1840487,-3.8276644,-3.83645,-4.1840487
ACH-000278,COV362,-1.072505,-3.5169692,-3.5169692,-1.072505,-3.5169692,-3.5169692
ACH-000324,JHOC5,-2.7285843,-3.7760541,-3.7760541,-3.4196699,-3.7760541,-2.7811594
ACH-000409,OVSAHO,-2.5834432,-3.7946303,-3.7946303,-2.5834432,-3.7946303,-3.7946303
ACH-000524,KURAMOCHI,-2.9156334,-3.7999954,-3.7999954,-3.7999954,-3.7999954,-2.9156334
ACH-000527,OVISE,-1.9862242,-4.067414,-4.067414,-1.9862242,-4.067414,-4.067414
ACH-000542,HEYA8,2.036671,1.2927201,0.29531685,-0.056007154,1.3655866,1.8002517
ACH-000608,COV644,-1.5345855,-2.5161607,-2.5161607,-2.5161607,-1.5345855,-2.5161607
ACH-000657,A2780,2.1053212,-0.31061226,-0.4002755,-0.1985624,2.0990129,-0.49706736
ACH-000663,OVTOKO,-3.1253967,-3.1253967,-3.9584749,-3.9584749,-3.9584749,-3.9584749
ACH-000688,OV7,-2.993282,-2.993282,-2.993282,-2.993282,-2.993282,-2.993282
ACH-000696,OVCAR8,0.87968284,-0.3480457,-3.820951,0.83313143,-0.5948735,-1.1670548
ACH-000701,RMUGS,-1.1379157,-1.7395115,-1.2781168,-3.9238102,-3.9238102,-2.6769207
ACH-000704,OAW42,-3.6107988,-3.6107988,-3.6107988,-3.6107988,-3.6107988,-3.6107988
ACH-000713,CAOV3,-3.764332,-3.764332,-3.764332,-3.764332,-3.764332,-3.764332
ACH-000719,RMGI,-1.851626,-1.8758819,-3.922648,-3.922648,-3.3134873,-3.2860422
ACH-000796,MCAS,0.65222615,0.42030495,-2.1534169,0.23486498,-1.107633,-1.253633
ACH-000811,SKOV3,-1.9904995,-3.8285062,-3.8285062,-2.1030288,-3.3752549,-2.6559062
ACH-000885,TOV21G,-2.2337215,-3.644592,-3.644592,-3.2882078,-2.4835198,-2.6034548
ACH-000906,ES2,2.7880101,1.8681282,2.1693609,1.4775244,2.037922,2.4033253
ACH-000947,OVK18,-1.8541168,-4.088137,-4.088137,-3.2212963,-1.8779032,-3.5111072
