depmap_id,cell_line_display_name,Ploidy
ACH-000001,NIHOVCAR3,3.52
ACH-000048,TOV112D,1.07
ACH-000091,OV56,1.94
ACH-000116,OAW28,2.46
ACH-000123,COV434,2
ACH-000132,JHOS2,1.86
ACH-000237,JHOM1,2.7
ACH-000256,COV318,3.96
ACH-000278,COV362,1.82
ACH-000291,OV90,1.93
ACH-000324,JHOC5,2.82
ACH-000409,OVSAHO,2.89
ACH-000430,TYKNU,2.5
ACH-000443,OVKATE,2.02
ACH-000460,SNU8,2.9
ACH-000524,KURAMOCHI,2.8
ACH-000527,OVISE,2.88
ACH-000542,HEYA8,2.03
ACH-000574,FUOV1,2.97
ACH-000608,COV644,2.62
ACH-000617,OVCAR4,2.99
ACH-000646,OVMANA,3.83
ACH-000657,A2780,2.01
ACH-000663,OVTOKO,3.43
ACH-000688,OV7,1.88
ACH-000696,OVCAR8,2.56
ACH-000701,RMUGS,1.76
ACH-000704,OAW42,3.78
ACH-000713,CAOV3,1.71
ACH-000719,RMGI,2.18
ACH-000796,MCAS,1.94
ACH-000811,SKOV3,1.9
ACH-000885,TOV21G,2.05
ACH-000906,ES2,3.23
ACH-000947,OVK18,2.09
ACH-001042,COLO704,2.23
ACH-001048,COV504,1.67
ACH-001063,DOV13,3.21
