depmap_id,cell_line_display_name,14-3-3_beta,14-3-3_epsilon_Caution,14-3-3_zeta,4E-BP1,4E-BP1_pS65,4E-BP1_pT37_T46,4E-BP1_pT70,53BP1,A-Raf_pS299_Caution,ACC_pS79,ACC1_Caution,Acetyl-a-Tubulin (Lys40)_Caution,ACVRL1_Caution,ADAR1,Akt,Akt_pS473,Akt_pT308,alpha-Catenin,AMPK_alpha_Caution,AMPK_pT172,Annexin 1,Annexin_VII,AR,ASNS,ATM,B-Raf_Caution,B-Raf_pS445,Bad_pS112,Bak_Caution,Bap1 c-4,Bax,Bcl-2,Bcl-xL,Beclin_Caution,beta-Catenin,beta-Catenin_pT41_S45,beta Actin_Caution,Bid_Caution,Bim(CST2933),Bim(EP1036),BRCA2_Caution,c-Jun_pS73,c-Kit,c-Met_Caution,c-Met_pY1235,c-Myc_Caution,C-Raf(BD610151)_Caution,C-Raf(MP05-739),C-Raf_pS338,Caspase-7_cleavedD198_Caution,Caspase-8_Caution,Caveolin-1,CD20 _Caution,CD31,CD49b,CDK1,Chk1_Caution,Chk1_pS345_Caution,Chk2,Chk2_pT68_Caution,cIAP_Caution,Claudin-7,Collagen_VI,Cyclin_B1,Cyclin_D1,Cyclin_E1,Cyclin_E2_Caution,Di-Ras3_Caution,DJ-1,Dvl3,E-Cadherin,eEF2_Caution,eEF2K,EGFR,EGFR_pY1068_Caution,EGFR_pY1173,eIF4E,eIF4G_Caution,ER-alpha,ER-alpha_pS118,ERCC1_Caution,ERK2_Caution,ETS-1,FASN,Fibronectin,FoxM1,FOXO3a_Caution,FOXO3a_pS318_S321_Caution,FRA1_Caution,G6PD,Gab2,GAPDH_Caution,GATA3,GSK-3-BETA_Caution,GSK3-alpha-beta,GSK3-alpha-beta_pS21_S9,GSK3_pS9,HER2,HER2_pY1248_Caution,HER3,HER3_pY1289_Caution,Heregulin,HSP70_Caution,IGFBP2,INPP4B,IRS1,JAK2,JNK_pT183_Y185,JNK2_Caution,Ku80_Caution,Lck,MAPK_pT202_Y204,MDM2_pS166,MDMX_MDM4(BetIHC-00108)_Caution,MEK1,MEK1_pS217_S221,MIG-6,Mre11_Caution,MSH2,MSH6_Caution,mTOR,mTOR_pS2448_Caution,MYH11,Myosin IIa pS1943,N-Cadherin,N-Ras,NDRG1_pT346,NF-kB-p65_pS536_Caution,NF2_Caution,Notch1,P-Cadherin_Caution,p14 Arf(BetA300-340A)_Caution,p21,p27,p27_pT157_Caution,p27_pT198,p38 alpha MAPK,p38_MAPK,p38_pT180_Y182,p53_Caution,p62 Lck ligand_Caution,p70S6K,p70S6K_pT389,p90RSK_Caution,p90RSK_pT359_S363_Caution,p90RSK_pT573_Caution,PAI-1,PARP_cleaved_Caution,Paxillin_Caution,PCNA_Caution,PDCD4_Caution,PDK1,PDK1_pS241,PEA15,PEA15_pS116,PI3K-p110-alpha_Caution,PI3K-p85,PKC-alpha,PKC-alpha_pS657_Caution,PKC-delta_pS664,PKC-pan_BetaII_pS660,Porin,PR,PRAS40_pT246,PRDX1,PREX1,PTEN,Rab25,Rad50,RAD51,Raptor,Rb_Caution,Rb_pS807_S811,RBM15,Rictor_Caution,Rictor_pT1135,RSK1-2-3_Caution,S6_pS235_S236,S6_pS240_S244,SCD1,SETD2_Caution,SF2,Shc_pY317,SHP-2_pY542_Caution,Smac_Caution,Smad1,Smad3,Smad4,Snail_Caution,Src,Src_pY416_Caution,Src_pY527,STAT3_Caution,STAT3_pY705,STAT5-alpha,Stathmin,Syk,TAZ,TFRC,TIGAR,Transglutaminase,TSC1_Caution,TTF1,Tuberin,Tuberin_pT1462,VAV1_Caution,VEGFR2,VHL_Caution,XBP1_Caution,XRCC1_Caution,YAP_Caution,YAP_pS127_Caution,YB-1,YB-1_pS102
ACH-000091,OV56,-0.16589,-0.264092,0.162399,0.159021,0.440453,0.045437,0.126791,0.672365,0.074779,-0.308142,-0.067641,-0.209909,1.200183,0.578224,-0.446792,3.256171,2.928953,-0.209213,-0.323657,-0.524944,0.168066,0.219674,-0.104742,-0.14369,0.054173,-0.424134,-0.625037,0.122511,0.252393,-0.176341,-0.473359,0.107092,-0.099581,-0.220971,-0.627228,-0.075379,-0.385121,-0.087689,0.461968,0.28378,0.025706,0.077785,-0.010482,-0.076151,-0.056814,-0.284027,-0.000768,-0.067596,0.134224,-0.113546,0.257311,1.415402,-0.10599,0.011726,-0.50366,-0.280013,0.178818,0.293792,0.080242,0.292177,0.276746,0.301447,0.107094,0.489447,0.14252,-0.53333,-0.139252,-0.062775,-0.28623,-0.014199,-1.475105,-0.416441,-0.001201,1.22686,0.192323,-0.004711,0.013387,-0.048179,-0.212167,-0.232112,-0.397723,-0.459057,-0.120973,-0.45501,3.234279,0.090968,-0.114563,-0.122114,0.387455,-0.064238,-1.991447,0.248913,-0.228244,-0.103944,-0.225949,0.340196,0.557252,-0.627036,-0.194655,-0.164576,-0.092853,0.706291,-0.277155,0.820914,-0.029504,0.542488,0.082667,0.396965,0.027773,0.063467,-0.317075,0.464829,-0.293446,-0.013652,0.057017,-0.150363,0.521109,-0.107131,0.19731,0.273726,-0.275348,-0.205148,0.151414,0.649709,0.27339,-0.009968,2.429873,0.978331,0.020456,0.496395,-0.328045,4.431628,0.190517,-0.142021,-0.174088,0.282841,-0.29941,-0.415782,0.30975,-0.439542,0.180964,-0.193923,-0.01351,0.267898,0.042543,0.381327,4.085796,-0.102916,0.130105,-0.22791,0.660202,-0.07833,-0.016326,-0.162775,-0.24948,-0.030345,0.573554,0.71293,1.037237,0.169334,0.188082,0.630912,-0.039287,0.163987,1.006232,-0.345888,-0.315394,-0.20168,-0.196863,0.499752,-0.194703,0.442903,0.462573,-0.12568,-0.185116,0.116844,0.315201,0.077704,-0.636731,-0.09749,1.342874,-0.191313,-0.031893,0.100591,-0.109052,-0.196377,0.019618,-0.038324,0.075209,-0.374876,0.388029,-0.848955,0.209357,0.620005,0.417151,-0.225894,-1.662355,0.549597,0.110804,-0.312394,1.004876,-0.244893,-0.112725,-0.606828,0.236515,-0.131202,0.471781,-1.22124,-0.324394,-0.215191,0.239864,1.22505,0.337839,0.214364
ACH-000701,RMUGS,-0.039699,-0.009975,0.115436,-0.960294,-1.09102,-1.358306,-0.464995,-0.408742,0.053705,0.205348,-0.011441,-0.543987,0.044328,-0.27293,0.057637,2.772081,1.804908,0.855894,0.097905,-0.702903,0.74999,-0.479611,0.020092,-1.527499,-0.02508,-0.70315,-0.500884,-0.196289,-0.06322,-0.279271,-0.198671,0.068798,0.598313,-0.242434,1.133128,0.198521,-0.240442,0.183207,1.181178,0.796376,0.338848,-0.191881,-0.180687,4.074217,-0.148313,-0.97858,-0.130935,-0.059914,0.230895,-0.577666,2.158071,0.771998,-0.109826,0.069999,0.660425,-0.056721,-0.413352,-0.344123,0.070896,0.039912,-0.23168,2.29036,-0.26544,-0.536406,0.710201,-0.020157,-0.009042,-0.260184,-0.541822,-0.041031,5.016611,-0.233473,0.356687,1.436788,0.581712,-0.019029,-0.239025,-0.18696,-0.000632,0.010779,1.999301,-0.160601,0.322642,0.943165,-1.243933,-0.110557,-0.227245,-0.129436,-0.647797,3.266207,0.953294,0.861044,1.962426,-0.113387,0.231509,0.581239,0.375223,0.637312,0.300791,0.671298,0.003588,0.151928,0.113353,-0.512415,0.231716,-0.667714,0.039427,0.778336,0.618581,0.57555,0.536765,1.522183,1.035306,-0.098754,-0.13504,1.281788,-0.013908,-0.069774,-0.146348,0.212861,0.207653,0.057209,-0.231929,0.728209,-0.289305,-0.0656,0.542983,0.226076,-0.002564,-0.311767,-0.390401,-0.522092,0.473345,0.040319,-0.106326,-0.342883,0.849985,0.069326,0.788672,-0.037697,-0.394348,-0.213168,-0.854886,-0.544257,0.055289,0.778141,-0.50547,3.058185,0.129482,-0.329683,0.020784,-0.244748,-0.18016,0.030258,0.321617,-0.24364,-0.652164,-1.022484,-1.313323,-0.377589,0.088635,0.037234,-0.078337,-0.04888,1.16514,0.069615,-0.153713,2.421666,0.690079,0.108087,0.675511,1.209918,-0.354003,0.479455,-0.102696,-0.026139,-0.835326,-1.570311,-1.689218,0.049169,1.151476,-0.34677,0.732517,1.038867,0.804582,-0.128771,-0.007432,-0.566262,2.696669,-0.776893,-0.400749,0.087966,-0.208409,1.273418,-1.385902,-0.610852,2.570862,-0.408826,1.804416,-0.1303,-0.043423,0.192505,0.099418,-0.166294,0.076298,0.3951,1.461733,2.621438,0.096392,0.619928,0.196921,0.530145,-0.239957,-0.411595
ACH-000256,COV318,0.026659,-0.019619,-0.868538,-0.93793,-0.143603,0.099393,0.054624,0.521599,0.021957,-0.098919,0.275458,1.063506,0.297833,0.851705,-0.107557,1.87191,1.565951,0.035075,0.022061,-0.756182,-0.272616,0.022621,0.00429,-0.461711,0.56459,-0.24386,-0.133183,-0.141303,0.077472,0.112082,-0.43374,-0.106143,-0.040989,0.129708,-0.184157,0.028572,1.809913,-0.070553,-0.114242,-0.117294,-0.006667,0.534963,-0.177034,0.102128,0.111713,-0.114061,-0.275013,-0.253788,0.10831,0.020247,0.03978,0.934282,-0.076827,0.161976,-0.439518,0.0266,0.000356,0.02943,-0.022572,0.274277,-0.200143,-0.297925,0.448278,-0.152019,0.177875,0.633797,-0.157386,0.10842,-0.112118,0.43731,0.277987,-0.549907,-0.249799,0.153848,0.838203,-0.001094,-0.34356,0.539815,0.017067,0.032769,0.026374,-0.773444,-0.198673,-0.390889,1.220333,-0.095387,0.097628,-0.139159,-0.557657,-0.271998,0.824337,-1.713083,-0.294004,-0.247452,-0.522256,-0.221432,0.13808,-0.370349,0.273924,-0.253327,0.071162,-0.03372,-0.103831,2.846641,-0.642878,0.286047,-0.028913,0.431683,0.026953,-0.176949,-0.69924,1.129645,-0.568767,-0.217208,-0.551379,0.600978,0.079003,-0.060441,0.01702,-0.263002,0.055456,0.248699,0.632267,1.090198,0.396772,0.089146,0.031816,0.174432,0.093227,0.061416,0.668268,2.040355,-0.165173,-0.176972,0.016438,0.072598,-0.320522,-0.721445,-0.275318,0.162559,-0.768442,-0.570902,0.85845,-0.109886,0.197875,0.817049,1.780934,0.155749,-0.200244,-0.209738,-0.611249,-0.127494,-0.191011,0.131047,-0.258219,-0.135751,-0.04201,-0.106313,-0.177417,0.150483,-0.115597,0.722211,-0.139691,0.703491,-0.23015,0.240713,-1.387018,-0.131101,-0.03354,0.297255,-0.254936,0.024386,-0.63729,0.585117,0.125629,0.160339,-0.107731,0.137806,-0.058431,-0.041731,0.01669,0.062809,0.28127,0.509775,-0.079099,-0.025392,-0.096098,-0.002419,0.582317,-0.157228,0.187759,-0.421427,0.905555,0.098429,0.188006,-0.03131,-2.033453,0.197535,0.988862,-0.120502,0.060311,0.186563,-0.425382,0.130978,0.194101,-0.792294,0.257812,0.631177,-0.294921,0.097746,0.582669,0.641804,0.215985,0.457027
ACH-000237,JHOM1,-0.013659,0.0,-0.243706,-0.539491,0.187324,-0.188992,-0.001635,0.444671,-0.098684,0.107785,0.398911,0.779683,0.083751,0.305204,-0.024272,3.595432,2.238965,0.227533,0.05948,-1.259039,1.076585,0.75776,1.657485,-1.551805,1.476492,-0.429611,-0.305061,0.062946,0.173413,-0.495341,-0.126609,-0.223326,-0.373328,0.136303,0.5217,0.017047,-0.146479,-0.039068,-0.711899,-0.560787,-0.16289,0.39593,-0.362221,0.167899,-0.024534,-0.078261,0.327285,0.343062,0.419597,-0.284363,-0.102247,2.181825,-0.12005,0.127822,-0.280987,-0.068247,-0.146732,-0.123377,-0.466374,0.094647,-0.052726,-0.141083,0.385681,-0.831529,0.049669,-0.006067,-0.103547,0.241388,-0.199982,0.770002,-0.604762,-0.661976,-0.529596,0.517926,-0.071591,-0.116027,-0.296062,0.336593,0.0,-0.018214,-0.017205,-0.212245,-0.111258,-0.845258,1.227679,-0.316222,0.034852,0.02657,-0.237291,1.633492,-0.266864,0.647896,0.077062,0.435072,0.016654,0.731138,1.157057,-0.063187,0.16683,-0.413901,0.041077,0.953555,0.097222,-0.432239,-0.109654,-0.125882,-0.109949,0.090495,-0.241134,-0.808946,-0.313454,1.120124,-0.043352,-0.088975,-0.1548,0.772635,-0.050535,-0.02643,-0.130658,-0.634547,0.013255,0.321848,0.358434,0.746051,0.699199,-0.029527,0.419149,0.986667,0.208496,-0.283989,0.180097,-0.896235,-0.340749,0.872565,-0.031406,0.217708,-0.064134,-0.128831,0.412794,-0.319629,2.378095,-0.500633,0.716911,0.047316,0.351562,1.104783,2.588015,0.008719,0.308247,-0.366967,0.431283,-0.15933,-0.142362,-0.192184,-0.248795,-0.152088,-0.354858,0.773227,0.866252,0.097682,0.172604,0.620661,-0.263593,0.563242,1.024848,0.406709,-3.298482,-0.140669,-0.22078,-0.404583,-0.202816,-0.011882,-0.490405,-0.084122,0.332152,0.562531,-0.11223,0.823719,0.522798,0.55742,0.976603,-0.125476,-0.049066,-0.125068,-0.470869,-0.191869,0.64349,-0.01891,1.40954,0.886321,0.040016,0.626207,0.527617,0.260692,-0.649828,-0.15882,-2.667724,0.883851,0.833924,-0.041847,0.550641,0.479752,-0.236565,0.059759,0.667484,-0.881149,0.561002,-0.945135,-0.111949,-0.057225,1.184203,1.674227,0.052806,0.865545
ACH-000324,JHOC5,-0.125545,-0.16409,0.062189,0.215894,-0.054818,-0.20009,-0.00042,0.050013,-0.237396,-0.067376,0.268389,0.226787,-0.062256,0.411762,-0.155573,1.798715,0.557462,-0.14289,0.061666,-0.129316,-0.232586,0.062537,-0.099923,-0.604325,0.650036,-0.312469,-0.262173,0.11874,0.253979,-0.506687,0.208052,1.17532,0.077134,-0.01485,-0.004233,-0.125313,-0.655973,-0.101134,0.176174,-0.129007,-0.136262,0.478602,-0.464936,0.432237,-0.057606,0.109995,0.559557,0.608658,0.324665,-0.287097,-0.005412,2.285733,-0.18811,-0.106067,0.142735,-0.239349,0.061794,-0.053692,-0.199613,0.119939,0.348654,0.132913,0.16777,-0.136988,-0.013005,0.315906,-0.004283,-0.010346,-0.634177,-0.418904,-0.227937,-0.841798,-0.878741,1.973502,0.691072,-0.105202,-0.285181,-0.276545,-0.157812,-0.165184,-0.139736,-0.179175,0.177838,0.992457,1.939641,0.036294,0.219733,-0.275059,0.74496,0.301491,-0.924727,-1.739885,0.033205,0.245137,-0.089125,0.049533,0.08196,0.662033,0.916689,0.734327,-0.04719,0.177918,-0.021579,-0.460043,-0.090448,-0.014299,-0.196828,0.021004,-0.110147,0.092497,-0.356303,0.138043,0.069153,0.619555,-0.899058,-0.317196,0.203033,-0.117568,-0.063438,-0.450926,-0.015593,-0.077602,0.660934,1.055131,0.378444,0.066669,0.351254,0.682297,0.955185,-0.119663,0.274643,-0.785451,0.183849,-0.26118,-0.074723,-0.009404,-0.102586,-0.189759,0.236516,-0.184497,1.066238,-0.513586,0.263407,0.877282,0.140859,0.437307,1.957712,-0.140991,-0.081662,-0.053,-0.745577,-0.201112,-0.2682,0.094664,-0.076955,-0.435394,-0.52193,0.748985,1.151598,0.054569,0.274173,0.917583,-0.348555,0.086057,1.184976,-0.17011,-1.59176,-0.274394,-0.217037,0.448612,0.035471,0.065703,0.033224,0.283229,-0.218908,0.024509,1.137925,0.719476,0.143202,0.386462,1.866524,-0.146872,0.161785,-0.144652,0.318916,-0.161735,0.79577,-0.063492,-0.244869,0.592436,-0.244953,0.03977,0.295332,-0.077973,-1.005954,0.031363,-1.856617,0.58388,-0.512256,0.039413,0.833496,0.190546,-0.30854,-0.216511,-0.122757,-0.87809,0.533948,-1.494348,-0.011417,-0.037427,0.644287,1.073964,-0.06304,0.285237
ACH-000947,OVK18,-0.026597,0.227096,-0.640522,-0.285836,0.025838,-0.023567,0.41372,0.06499,-0.052898,0.384595,0.823441,0.4533,0.034165,0.481389,-0.156481,3.077049,2.205018,-0.571593,-0.178256,0.469003,-1.321259,0.440442,0.02888,0.60517,0.418356,-0.261074,0.249907,-0.022104,-0.030836,0.492906,-0.255724,-0.396617,-0.624257,0.013041,-2.836559,-0.223707,0.33493,-0.26313,0.633563,0.433248,-0.384504,-0.065897,5.279309,-0.032818,0.05041,-0.050916,1.004915,0.409988,0.232832,-0.193089,-0.223543,-2.635489,0.100277,0.270855,-0.766501,0.462747,0.031542,-0.176394,0.018324,0.021785,0.101468,0.048484,-0.004732,-0.126349,0.651255,0.434053,0.144259,0.197572,0.037735,-0.367653,-0.39188,-0.005906,0.078892,-1.090946,-0.406042,-0.053308,0.292838,1.04967,0.013251,-0.051348,-0.057538,-0.04451,-0.362696,0.259594,-0.613049,-0.232403,-0.138861,-0.324312,-0.841976,-0.561614,-0.919693,-1.315955,0.110979,0.212598,0.080045,0.913351,0.656044,-0.558615,-0.102607,-0.378932,0.006991,0.027312,-0.263761,-0.421188,-0.374171,-0.223809,0.035653,-0.109205,-0.376087,0.343585,-0.525301,0.668303,-0.340709,0.307131,-0.140589,-0.044488,0.554133,0.131043,0.276858,-0.195563,0.295028,0.225986,-0.338732,-1.074615,-0.481385,-0.061015,-0.536284,-0.325506,0.631354,-0.07877,0.010157,-1.022757,0.164624,1.200748,-0.014569,0.238878,0.108836,0.238809,0.581393,-0.397287,-0.057091,0.444064,0.683426,-0.067509,0.210594,0.700999,-1.037382,0.333632,-0.723749,0.029248,0.309109,0.051062,0.108015,-0.610975,-0.306171,-0.102493,-0.556498,-0.693816,-2.514785,-0.24273,-0.235489,1.013369,0.045578,0.534112,-0.135341,-0.197484,-2.916841,-0.266192,0.130374,0.104301,0.277409,0.249134,0.182498,0.129495,-0.365877,0.150976,0.102928,1.224875,1.050147,0.090603,-0.24715,-0.103487,-0.091023,0.4404,-0.586448,0.143201,0.802645,0.095355,-0.0035,0.375768,-0.160836,0.833857,0.280399,-0.153444,-0.946688,0.052476,-2.439503,0.255537,-1.21668,-0.040123,-0.33118,0.268511,-0.404306,0.165318,0.128031,-0.592063,-1.112638,0.28191,0.313227,-0.125591,-0.027349,0.278475,-0.258559,-0.111694
ACH-000291,OV90,0.323445,0.309838,1.048279,-0.784797,-0.986249,-1.030674,-0.119115,-1.022109,-0.141908,0.953019,0.0758,-0.12092,-0.031475,-0.701155,0.400101,-1.157641,-0.818843,0.838227,0.488703,-0.060797,-0.725707,0.556556,-0.117776,0.567555,-0.614248,-1.57298,-0.346335,-0.304128,-0.098523,-0.978128,0.252251,-0.525521,1.092932,0.012961,-0.146159,-0.179963,2.075732,0.459919,-0.622951,-0.585146,0.640191,-0.807116,-0.38733,0.095263,-0.065393,-0.481496,-1.001613,-0.722166,-0.252637,0.817199,0.501319,-1.821961,0.002384,0.031651,1.637914,0.189592,-0.083029,-0.073067,-0.287846,-0.177327,-0.146946,1.073942,0.066604,0.424791,0.444881,0.580271,0.055955,0.083307,0.755519,-0.45784,2.726305,0.614767,-1.587563,-0.426869,-0.364795,0.010423,0.546912,-3.404025,0.048489,-0.11226,0.374499,0.795493,0.756705,0.302628,4.059076,-1.173475,-0.276994,-0.104379,0.276044,2.377337,-1.802656,0.35315,0.212444,-0.897796,0.185337,-0.517992,-0.623527,0.684009,-0.16175,-0.533427,0.067726,-0.154499,0.300444,-0.582837,-1.071521,-0.344617,-0.413828,0.04549,-0.02921,-0.405656,0.459937,-0.457836,-0.272675,0.093966,0.825663,0.597938,0.10272,-0.126936,-0.082701,0.20714,-0.372418,0.055531,0.871454,0.863616,0.32883,-0.02942,-0.22811,-1.12899,-0.549764,-0.619463,0.69342,1.956351,0.455446,-0.090696,0.091966,-0.10506,0.260926,0.049965,0.024166,0.628982,1.305201,0.726588,-0.34654,0.046635,-0.406719,-0.423924,1.596999,-0.132668,0.007985,0.829942,-0.869057,0.059367,0.275347,0.089252,2.431319,-0.049093,0.361435,0.321124,0.178057,0.178234,-0.395823,0.359393,-0.195493,-0.238194,1.267864,-0.262915,0.48024,-0.057606,0.736412,0.205527,-0.169763,-0.223599,-0.410237,-0.012308,-0.796247,-0.184894,-0.0269,1.112265,1.36353,0.384735,-0.329383,0.414335,-0.112875,-0.515757,0.498317,-0.173256,-0.150817,-0.256237,-0.331073,-0.316254,-0.114746,0.14029,-0.014531,0.065876,-0.95,-0.014782,-2.890625,0.211326,0.569645,0.817989,0.158771,0.0656,1.536717,-0.147289,-0.095181,-0.663946,1.033623,1.754607,0.047431,-0.113879,0.144073,-0.071326,0.609172,0.210244
ACH-000663,OVTOKO,-0.156839,-0.33169,-0.276143,0.32337,1.248291,0.613829,0.420367,-0.66655,0.028532,-0.724972,-0.580758,-1.105766,-0.107492,0.099712,0.27144,0.814027,0.197526,-0.834314,0.175522,-0.494822,0.00016,0.197977,-0.192939,-0.182112,-0.137792,-0.509887,-0.719161,-0.005161,-0.028561,-0.201596,-0.10245,-0.555909,0.249442,-0.300214,-2.390136,-0.228038,0.49194,0.167849,-1.019753,-0.905738,0.092472,0.686485,-0.514242,0.190638,-0.176451,0.24823,-0.42828,-0.225346,0.066883,-0.187133,-0.000817,3.137672,-0.059298,-0.219093,-1.043913,-0.272015,-0.255293,0.116501,-0.221966,-0.256245,-0.253526,-0.366134,0.096542,-0.642041,-0.102978,0.113312,0.19248,-0.049352,-0.567273,0.314879,-0.66922,-0.240828,0.543066,1.063641,-0.227707,-0.143304,-0.562907,0.116706,-0.407403,-0.140788,-0.199002,0.181948,0.221729,-0.179883,0.081965,0.156874,-0.139741,-0.11252,0.453975,1.149762,0.575362,0.488642,-0.251386,-0.328298,-0.526231,0.117146,0.323849,0.506386,0.424844,-0.302627,-0.233634,0.35381,0.156077,-0.521954,-0.375204,0.030788,-0.230408,0.493455,-0.182438,0.114894,-0.987821,1.008014,0.993543,0.159292,-0.096046,0.534755,0.203619,0.024177,0.195881,0.510082,-0.404635,0.062436,0.363564,1.14287,-0.499515,0.008313,0.515192,2.528389,1.257468,0.409131,0.469012,-0.656864,-0.01926,-0.135335,-0.095474,-0.172289,-0.178681,-0.388854,0.264816,-0.311454,0.706605,-0.54661,1.034359,0.078697,0.467221,1.168503,3.526173,-0.342253,0.32652,-0.041552,-0.367554,-0.249843,-0.228237,0.131977,0.165456,-0.565821,-0.255954,1.395357,1.7445,0.421288,0.555214,0.737969,-0.566489,-0.024311,0.05523,0.212304,-0.019824,-0.565924,-0.421849,-0.002233,-0.259507,0.225813,0.584512,0.230181,-0.333731,0.271324,0.00143,0.267708,0.382356,0.149299,0.907392,-0.168452,-0.264663,-0.317316,0.154802,-0.562734,1.150291,-0.215729,0.328238,-1.089238,-0.274412,-0.844149,-0.624669,0.179007,-0.663541,-0.177654,-2.617044,0.72432,1.975452,0.045741,1.457725,0.078028,-0.018019,-0.577966,-0.205246,-0.702554,-0.090413,-1.351213,-0.014328,-0.40454,-0.015088,-0.655394,0.248233,0.653054
ACH-000617,OVCAR4,0.346029,0.142453,0.179259,-0.439185,0.313988,-0.169674,-0.018308,0.072335,-0.254794,-0.066832,0.021343,-0.575669,-0.119349,-0.203708,-0.437135,-0.83407,-0.828969,0.306913,0.256849,-0.700345,-0.735365,0.411253,-0.369748,3.102943,-1.06429,0.484302,0.350665,-0.01826,-0.087456,-0.298951,-0.079404,-0.511339,0.683722,-0.05056,0.894563,0.064844,-0.226633,0.113867,0.65422,0.441236,0.173331,-0.133304,-0.125119,-0.0267,-0.037896,-0.392068,-0.543744,0.087376,0.027603,0.516389,0.06089,-1.369722,0.216246,-0.394907,-0.064993,-0.190573,-0.334116,0.1017,0.306383,0.151216,0.007714,1.416529,0.026923,0.244462,-0.234004,1.290006,0.01406,-0.051087,-0.024707,0.233879,3.5556,0.855162,-1.011806,0.16468,0.010752,0.076542,-0.300188,-0.337976,-0.430382,-0.061965,0.249337,0.535727,0.918172,0.132448,-0.559642,-0.214766,-0.505546,0.077977,-0.267674,0.484658,0.768764,0.252189,-0.590052,0.03546,0.197642,0.562807,0.553963,0.417667,0.010586,0.004373,-0.078663,-0.052701,-0.046902,0.871279,-0.335406,-0.562387,-0.426344,0.301795,0.554314,0.472338,0.537873,0.571963,0.701431,-0.275089,-0.144693,-0.285734,-0.052598,-0.039517,-0.470201,-0.227617,0.332226,0.430417,0.255324,1.92084,0.252757,-0.274607,0.60265,1.051534,1.475621,-0.47299,0.817086,1.340292,0.364792,-0.297955,-0.213955,-0.321504,-0.155422,-0.199867,0.46119,0.395712,1.271371,-0.753181,0.076424,0.398983,-0.188225,-0.190134,1.011797,-0.456722,0.048602,0.157689,-1.504248,-0.376857,-0.515722,0.569523,2.110692,-0.184914,-0.019037,-0.771063,-1.304962,-0.299961,-0.400654,1.249533,-0.008516,-0.136943,-0.053792,-0.377587,0.559281,0.608448,1.111866,-0.364235,0.283706,-0.019467,-0.170874,-0.007644,-0.43625,-0.048247,0.655679,1.888273,2.265751,-0.061466,-0.19242,-0.148575,0.085438,-0.205461,-0.243708,-0.140337,-0.077099,-0.430168,-0.027396,-0.71838,0.029572,-0.904688,0.261811,-0.277311,0.795917,-0.278643,0.196085,0.111396,1.200196,-0.096367,0.974623,-0.987001,0.862877,-1.20126,-0.584328,-0.433113,0.974833,5.180068,0.114227,0.031121,0.171734,0.113296,0.052643,-0.203914
ACH-000811,SKOV3,-0.272817,-0.388705,0.562957,-0.722941,0.571678,-0.015497,-0.327171,0.83006,-0.5007,0.083493,-0.038311,2.198216,-0.114658,-0.533983,0.029132,2.652943,1.43709,0.019631,0.365862,-0.28643,0.693371,0.52136,-0.246537,-2.190976,-0.906741,-0.88055,-1.202792,0.467984,-0.113007,-0.25244,-0.125282,-0.712454,0.541563,-0.243449,-0.063012,-0.269548,-0.39041,-0.298063,-1.777608,-0.957241,0.228921,0.501092,3.346454,-0.270097,-0.219297,-0.305809,-0.042658,0.008732,-0.121448,0.048669,0.036981,3.834765,-0.178549,-0.333701,-0.89042,-0.026917,-0.195272,-0.264941,-0.901221,-0.411464,0.044368,-0.087091,0.029598,0.019972,-0.107652,0.082456,-0.28356,-0.265297,0.142264,0.43888,-0.110642,0.532252,0.442486,1.26383,1.587201,-0.153914,0.277018,0.623213,2.003789,0.221063,-0.062898,0.697892,0.509322,-0.827249,1.877702,-0.526641,-0.024876,0.429275,0.449383,1.675786,0.585012,-0.734464,-0.043506,-0.123058,-0.130516,0.636951,0.766597,4.523466,4.477476,-0.546042,0.012644,0.486111,-0.3236,-0.61789,0.021573,-0.105203,-0.025001,1.111375,0.362435,0.006896,-0.013601,0.89829,0.844293,-0.219642,0.234982,0.376797,-0.249544,-0.324579,-0.63432,-0.238981,-0.349747,0.007034,1.669224,1.617426,0.141155,-0.43408,0.533122,1.880673,1.78538,0.522565,-0.399012,-0.863981,-0.254426,-0.495025,-0.026587,-0.117075,0.144318,0.313617,0.777451,-0.755811,1.369555,-0.221296,0.035828,0.094824,0.240641,0.743583,1.817039,-0.334878,0.365144,0.0,-0.864145,-0.234303,-0.196487,0.550588,1.849849,-0.316295,0.478741,0.14408,0.111097,0.019309,0.041758,0.184547,-0.587644,0.775634,0.794677,0.402389,-0.454754,-0.711511,0.125281,-0.34741,-0.391154,0.070568,0.351455,0.420295,0.027134,0.066625,0.181915,1.193025,1.230536,-0.158098,-0.245521,-0.095045,-0.039457,-0.049195,-0.068658,-0.265049,-0.012059,-0.442652,-0.137829,-0.648979,-0.189013,-0.485697,2.171275,0.024877,0.079798,-0.34218,0.108916,0.650399,-0.176679,-0.255857,0.562983,-0.120662,1.325454,-0.162858,0.103371,-0.971421,0.875094,0.339201,-0.37526,-0.231128,0.341035,1.484919,0.944623,0.367265
